target_D,actual_D,fractal_r_squared,realization,rms_acceleration,rms_force,rms_stress,total_vibration_energy,total_force_energy,peak_frequency_acc,peak_frequency_force,spectral_exponent_acc,spectral_amplitude_acc,spectral_r2_acc,spectral_exponent_force,spectral_amplitude_force,spectral_r2_force
2.15,2.341775035725877,0.9978729562991667,6,44.700671631655545,147304.24801320516,1622634.3802290964,0.04486361327682532,65077130.992765516,0.375,0.0,0.09425208515208004,0.05515571518988655,0.06850842910492193,0.030074741840647495,245136.47373447852,0.03024100817732593
2.15,2.3408957385586326,0.9979355081219525,7,16.704173968622854,16925.02948543143,606361.5150610096,0.006264929095318962,859125.724978715,0.375,0.0,0.09425208515208,0.007702158155075335,0.06850842910492182,0.030074741812570315,3236.2067523494006,0.030241008122643295
2.15,2.348609459522586,0.9978672087738486,8,23.933498933677786,68472.49798690053,868786.0112925037,0.012861112595177734,14061452.992235363,0.375,0.0,0.09425208515208007,0.015811563347509373,0.0685084291049219,0.030074741817210413,52967.53175619148,0.03024100813168132
2.15,2.338340209784464,0.9978959411774603,9,inf,inf,inf,,,0.01171875,0.01171875,,,0.0,,,0.0
2.15,2.351788958298751,0.9978051721328817,10,10.344525919870689,22271.568329964335,375506.290891306,0.0024744790344341195,2737530.331175626,0.46875,0.0,-0.3053262983945089,0.004615097979142977,0.4474639288521944,0.5982611189462185,11903.105431515234,0.8379838520829095
2.15,2.357693516866012,0.9976652917804604,11,inf,inf,inf,,,0.01171875,0.01171875,,,0.0,,,0.0
2.15,2.3670579136592065,0.9975898796992518,12,1.2176190355029204,1233.407310705737,44199.57098875601,3.3288100143378606e-05,4562.584162512468,0.375,0.0,0.09425208515207996,4.092467896849111e-05,0.06850842910492179,0.030074739492844182,17.186618208277636,0.03024100360476401
2.15,2.353464268209965,0.9977022468861689,13,11.183357560575951,11328.923835776965,405955.87944890704,0.0028080870883830976,384924.15905082464,0.375,0.0,0.09425208515207992,0.0034522866163181195,0.06850842910492173,0.030074741840574574,1449.9556075305434,0.030241008177183604
2.15,2.33013137408748,0.9980717025622049,14,20.44125362390561,42196.506106567256,742017.5065477736,0.009453539331043016,953106.2976289019,0.31640625,0.0,0.30539478626115163,0.009150119820869761,0.3820434297846239,-1.4779729005708595,148270.841629383,0.9606794413719953
2.15,2.344217804734667,0.9978427756991864,15,12.838883486568585,47477.535127578216,466051.4705624396,0.003701013477723656,6760427.863087822,0.375,0.0,0.09425208515207997,0.004550058062236012,0.06850842910492173,0.030074741801446765,25465.588637712703,0.030241008100974232
2.15,2.325832187040785,0.998055603388179,16,52.891297607992286,129224.44924543121,1919954.10317012,0.07517260872162793,87290559.42266187,0.24609375,0.0,1.2072935484928522,0.023146814751665308,0.6610627439210288,0.49260404625181564,484438.7480732621,0.8199716145849836
2.15,2.3496273373469965,0.9975827559800894,17,inf,inf,inf,,,0.01171875,0.01171875,,,0.0,,,0.0
2.15,2.314446037681559,0.9982758213680893,18,6.7808638925899745,40847.75312826918,246145.3593010161,0.001032371973001408,5004194.727342979,0.375,0.0,0.09425208515207992,0.0012692070556497138,0.06850842910492187,0.030074741836671064,18850.10341804596,0.030241008169580794
2.15,2.3247745347745483,0.9981666371190085,19,inf,inf,inf,,,0.01171875,0.01171875,,,0.0,,,0.0
2.25,2.412020651517064,0.9976277086731183,0,21.834610864901762,141974.03661258932,792596.3743959339,0.010704270223300175,60452701.91917173,0.375,0.0,0.09425208515208001,0.013159922632823357,0.06850842910492187,0.03007474183951601,227716.89455562664,0.03024100817512293
2.25,2.3832015906628112,0.9980457453513535,1,inf,inf,inf,,,0.01171875,0.01171875,,,0.0,,,0.0
2.25,2.4005066339614722,0.9978739417597068,2,18.402423947493954,120462.04442156792,668007.9892940306,0.007603546645038142,43520944.76628353,0.375,0.0,0.09425208515207992,0.009347866178299448,0.06850842910492166,0.030074741842403212,163937.32745689005,0.030241008180745634
2.25,2.385212331516655,0.9980329255835038,3,32.17776951044377,122028.9736783782,1168053.0332291087,0.03560936427098012,65759015.11664273,0.24609375,0.0,1.9964082832761265,0.0036805228952059813,0.5486519605824177,0.28628466669727937,606297.6753638282,0.6985454413167096
2.25,2.407929129348298,0.9976147735079418,4,14.154763366884694,97632.03733159792,513817.91021791444,0.004498537842618918,28587920.097072765,0.375,0.0,0.09425208515208004,0.0055305414320380684,0.0685084291049219,0.03007474183818813,107686.70679190881,0.03024100817253114
2.25,2.4102468006054365,0.9976443341088418,5,inf,inf,inf,,,0.01171875,0.01171875,,,0.0,,,0.0
2.25,2.3963746601372082,0.9978496632247701,6,46.81342560872377,31213.92643226977,1699327.349596673,0.1190262066379823,1123160.7676397476,0.46875,0.0,-0.6999695640469275,0.3211685438664721,0.5867030470035185,-1.4274462066634808,59405.08019242914,0.9619239934247462
2.25,2.4041735989038773,0.9977142849267279,7,inf,inf,inf,,,0.01171875,0.01171875,,,0.0,,,0.0
2.25,2.407015017480075,0.9977528609565186,8,39.519516958111524,85344.5215671491,1434558.4655794483,0.03506625661221047,21844854.268863108,0.375,0.0,0.09425208515208001,0.043110759950260966,0.0685084291049219,0.03007474184120912,82286.51852053138,0.030241008178420382
2.25,2.3909168502412705,0.9979774537771051,9,inf,inf,inf,,,0.01171875,0.01171875,,,0.0,,,0.0
2.25,2.3973273579555565,0.9979516741403612,10,0.7884936281960085,798.6792416064466,28622.318703515106,1.3959264221530556e-05,1913.1219211567063,0.375,0.0,0.09425208515207997,1.71616404793866e-05,0.0685084291049219,0.030074740974305538,7.206463411029528,0.030241006490046803
2.25,2.3863677274922583,0.9980660682177835,11,inf,inf,inf,,,0.01171875,0.01171875,,,0.0,,,0.0
2.25,2.403049991179591,0.9977606797908203,12,42.81675955886384,58220.175174918615,1554248.3719867575,0.11098320223664405,13677335.647113787,0.29296875,0.0,0.9997415611171748,0.0453192969126009,0.500343444273543,1.008670162441364,12849.112296193935,0.835060121109625
2.25,2.389965380284819,0.997929885087913,13,inf,inf,inf,,,0.01171875,0.01171875,,,0.0,,,0.0
2.25,2.407803966957452,0.9976807485214587,14,2.681046030251564,2716.1943501281944,97321.97089813178,0.00016138928296152575,22126.84726144434,0.375,0.0,0.09425208515208,0.0001984133839332127,0.06850842910492182,0.030074741441738363,83.34874693254005,0.03024100740041397
2.25,2.380484229413771,0.9979987517905311,15,37.34798566044543,14934.530161297873,1355731.8794741693,0.10113992910215844,1341804.0065860143,0.3515625,0.0,0.44586109809804914,0.08320006262572462,0.2703411657921629,1.2019534618045966,1671.6067116904123,0.818178244523161
2.25,2.381031245437473,0.9981606747307817,16,inf,inf,inf,,,0.01171875,0.01171875,,,0.0,,,0.0
2.25,2.4126209536711376,0.9976441292620101,17,2.0857145029146458,4615.892098793665,75711.43645580164,9.767330276139831e-05,63901.22030979711,0.375,0.0,0.09425208515208006,0.00012008040537265568,0.06850842910492187,0.03007474181641336,240.70698226560535,0.030241008130126625
2.25,2.4010409959119983,0.997816787497714,18,inf,inf,inf,,,0.01171875,0.01171875,,,0.0,,,0.0
