vehicle,target_D,beta_measured,beta_r2,rms_amplitude,energy,rms_acceleration,seed,realization
Vehicle C,2.05,2.270426627683718,0.8661086503175696,4.999999999999999,6.580805571931509,2.5653080851881143,20507,7
Vehicle A,2.05,2.045679035066316,0.8408719654976219,5.0,4.853828215837252,2.2031405347451742,20508,8
Vehicle B,2.05,2.045679035066316,0.8408719654976219,5.0,3.856838128322873,1.9638834304313668,20508,8
Vehicle C,2.05,2.045679035066316,0.8408719654976219,5.0,4.6710029942868765,2.161250331240432,20508,8
Vehicle A,2.05,2.1263689553598013,0.8898332004232558,4.999999999999999,6.580805571931509,2.5653080851881143,20509,9
Vehicle B,2.05,2.1263689553598013,0.8898332004232558,4.999999999999999,1.778266674492198,1.3335166569984036,20509,9
Vehicle C,2.05,2.1263689553598013,0.8898332004232558,4.999999999999999,2.1609761926476216,1.4700259156380957,20509,9
Vehicle A,2.05,2.0055430032016397,0.9109875586147601,5.0,2.1609761926476216,1.4700259156380957,20510,10
Vehicle B,2.05,2.0055430032016397,0.9109875586147601,5.0,2.3057917634520906,1.518483376086841,20510,10
Vehicle C,2.05,2.0055430032016397,0.9109875586147601,5.0,2.8023283889124664,1.6740156477501835,20510,10
Vehicle A,2.05,2.235305758919879,0.8828270234614464,5.000000000000001,6.580805571931509,2.5653080851881143,20511,11
Vehicle B,2.05,2.235305758919879,0.8828270234614464,5.000000000000001,5.927510166249703,2.4346478526164113,20511,11
Vehicle C,2.05,2.235305758919879,0.8828270234614464,5.000000000000001,7.220229320127955,2.687048440227298,20511,11
Vehicle A,2.05,2.1302314927288304,0.8858453597435838,4.999999999999999,1.7100316260567843,1.3076817755313348,20512,12
Vehicle B,2.05,2.1302314927288304,0.8858453597435838,4.999999999999999,3.233036741321814,1.7980647211159597,20512,12
Vehicle C,2.05,2.1302314927288304,0.8858453597435838,4.999999999999999,3.921694777252541,1.9803269369607992,20512,12
Vehicle A,2.05,2.2995770292315543,0.866193655614947,5.0,3.2529153467236385,1.8035840281848912,20513,13
Vehicle B,2.05,2.2995770292315543,0.866193655614947,5.0,2.7449176590326205,1.6567793030553648,20513,13
Vehicle C,2.05,2.2995770292315543,0.866193655614947,5.0,3.327677805469216,1.8241923707408756,20513,13
Vehicle A,2.05,2.276791358729668,0.8884358822604054,5.0,3.233036741321814,1.7980647211159597,20514,14
Vehicle B,2.05,2.276791358729668,0.8884358822604054,5.0,3.6625601038964306,1.9137816238788663,20514,14
Vehicle C,2.05,2.276791358729668,0.8884358822604054,5.0,4.4407319650135735,2.107304431024045,20514,14
Vehicle A,2.05,2.119653418636027,0.85915117168445,5.0,4.4407319650135735,2.107304431024045,20515,15
Vehicle B,2.05,2.119653418636027,0.85915117168445,5.0,5.614470538008416,2.3694873998416655,20515,15
Vehicle C,2.05,2.119653418636027,0.85915117168445,5.0,6.815417073414658,2.610635377339137,20515,15
Vehicle A,2.05,2.159521333958802,0.8565504674736764,5.0,5.201905215283636,2.2807685580267973,20516,16
Vehicle B,2.05,2.159521333958802,0.8565504674736764,5.0,2.9662708941432334,1.722286530790749,20516,16
Vehicle C,2.05,2.159521333958802,0.8565504674736764,5.0,3.596075243807256,1.8963320499868308,20516,16
Vehicle A,2.05,2.301441185821131,0.9266382368342425,5.0,3.1011530794695616,1.7610091082869395,20517,17
Vehicle B,2.05,2.301441185821131,0.9266382368342425,5.0,3.6244284445003907,1.9037931727213413,20517,17
Vehicle C,2.05,2.301441185821131,0.9266382368342425,5.0,4.385449756547435,2.094146546101164,20517,17
Vehicle A,2.05,2.1045840229106405,0.872617234832848,5.0,2.9075193142670455,1.705144954033834,20518,18
Vehicle B,2.05,2.1045840229106405,0.872617234832848,5.0,2.505747448777148,1.5829552895698438,20518,18
Vehicle C,2.05,2.1045840229106405,0.872617234832848,5.0,3.0448027061232463,1.744936304316936,20518,18
Vehicle A,2.05,2.237544966497079,0.9000215407352405,5.0,2.7701565536907555,1.664378729042989,20519,19
Vehicle B,2.05,2.237544966497079,0.9000215407352405,5.0,2.326521242164691,1.5252938215847762,20519,19
Vehicle C,2.05,2.237544966497079,0.9000215407352405,5.0,2.8227324877870803,1.680098951784412,20519,19
Vehicle A,2.05,1.9770735340608376,0.835285038700331,5.0,2.8227324877870803,1.680098951784412,20520,20
Vehicle B,2.05,1.9770735340608376,0.835285038700331,5.0,5.410685028531542,2.3260879236459533,20520,20
Vehicle C,2.05,1.9770735340608376,0.835285038700331,5.0,6.560924208832582,2.5614301100815893,20520,20
Vehicle A,2.05,1.954850485731175,0.8865027270269612,5.0,6.560924208832582,2.5614301100815893,20521,21
Vehicle B,2.05,1.954850485731175,0.8865027270269612,5.0,2.175895041845496,1.4750915367683106,20521,21
Vehicle C,2.05,1.954850485731175,0.8865027270269612,5.0,2.6425550115835073,1.6255937412476424,20521,21
Vehicle A,2.05,1.953024766061661,0.8883917348495163,5.0,2.175895041845496,1.4750915367683106,20522,22
Vehicle B,2.05,1.953024766061661,0.8883917348495163,5.0,1.3616963698662605,1.1669174648904097,20522,22
Vehicle C,2.05,1.953024766061661,0.8883917348495163,5.0,1.6563792752256605,1.28700399192297,20522,22
Vehicle A,2.05,1.9688141872064362,0.8457951069428435,5.0,2.175895041845496,1.4750915367683106,20523,23
Vehicle B,2.05,1.9688141872064362,0.8457951069428435,5.0,2.8970135038071647,1.7020615452465768,20523,23
Vehicle C,2.05,1.9688141872064362,0.8457951069428435,5.0,3.5277263847058045,1.87822426368786,20523,23
Vehicle A,2.05,2.001265248640698,0.8740528321929117,5.0,2.8970135038071647,1.7020615452465768,20524,24
Vehicle B,2.05,2.001265248640698,0.8740528321929117,5.0,2.653480161743456,1.6289506320768152,20524,24
Vehicle C,2.05,2.001265248640698,0.8740528321929117,5.0,3.22702218721844,1.796391434854453,20524,24
Vehicle A,2.05,2.0179267825011498,0.8699416187235756,4.999999999999999,3.22702218721844,1.796391434854453,20525,25
Vehicle B,2.05,2.0179267825011498,0.8699416187235756,4.999999999999999,3.801567385839061,1.9497608534994904,20525,25
Vehicle C,2.05,2.0179267825011498,0.8699416187235756,4.999999999999999,4.618401809533206,2.149046721114552,20525,25
Vehicle A,2.05,2.0193109515971432,0.9026462263381939,4.999999999999999,3.801567385839061,1.9497608534994904,20526,26
Vehicle B,2.05,2.0193109515971432,0.9026462263381939,4.999999999999999,12.144049515615079,3.4848313467964385,20526,26
Vehicle C,2.05,2.0193109515971432,0.9026462263381939,4.999999999999999,14.715202315167858,3.8360399261696765,20526,26
Vehicle A,2.05,2.011201555686388,0.8477503603285881,5.0,4.618401809533206,2.149046721114552,20527,27
Vehicle B,2.05,2.011201555686388,0.8477503603285881,5.0,6.923584947233115,2.631270595593147,20527,27
Vehicle C,2.05,2.011201555686388,0.8477503603285881,5.0,8.415935089401032,2.9010231108009172,20527,27
Vehicle A,2.05,2.0169641343398514,0.9056290182841308,5.0,13.895056069805994,3.7276072848150186,20528,28
Vehicle B,2.05,2.0169641343398514,0.9056290182841308,5.0,2.0340400429688508,1.4261977573144795,20528,28
Vehicle C,2.05,2.0169641343398514,0.9056290182841308,5.0,2.471243668698816,1.5720189784792091,20528,28
Vehicle A,2.05,2.0443069710226487,0.888102193877277,4.999999999999999,2.255406267116461,1.5018010078290869,20529,29
Vehicle B,2.05,2.0443069710226487,0.888102193877277,4.999999999999999,2.1523599418861967,1.4670923426581561,20529,29
Vehicle C,2.05,2.0443069710226487,0.888102193877277,4.999999999999999,2.6123854226153442,1.6162875432964718,20529,29
Vehicle A,2.15,2.082637991925572,0.879958161943784,5.0,2.6123854226153442,1.6162875432964718,21500,0
Vehicle B,2.15,2.082637991925572,0.879958161943784,5.0,5.9391253726626365,2.437032082813568,21500,0
Vehicle C,2.15,2.082637991925572,0.879958161943784,5.0,7.219560080676859,2.686923906752266,21500,0
Vehicle A,2.15,1.9317196853801475,0.8781601337368244,5.0,2.0340400429688508,1.4261977573144795,21501,1
Vehicle B,2.15,1.9317196853801475,0.8781601337368244,5.0,8.722545650883362,2.953395613676461,21501,1
Vehicle C,2.15,1.9317196853801475,0.8781601337368244,5.0,10.608720770583018,3.257103125567721,21501,1
Vehicle A,2.15,2.076179012012857,0.8766501250925995,5.0,10.608720770583018,3.257103125567721,21502,2
Vehicle B,2.15,2.076179012012857,0.8766501250925995,5.0,3.3225773482565533,1.8227938304307905,21502,2
Vehicle C,2.15,2.076179012012857,0.8766501250925995,5.0,4.040155932604368,2.0100139135350203,21502,2
Vehicle A,2.15,2.099944335915193,0.8439097078031408,5.0,3.0193421532067295,1.7376254352439509,21503,3
Vehicle B,2.15,2.099944335915193,0.8439097078031408,5.0,3.8705343269882944,1.9673673594395873,21503,3
Vehicle C,2.15,2.099944335915193,0.8439097078031408,5.0,4.7080435129266185,2.1698026437735343,21503,3
Vehicle A,2.15,2.029335660947525,0.9108931803466925,5.0,4.7080435129266185,2.1698026437735343,21504,4
Vehicle B,2.15,2.029335660947525,0.9108931803466925,5.0,9.578962129026703,3.094989843121735,21504,4
Vehicle C,2.15,2.029335660947525,0.9108931803466925,5.0,11.658142223310957,3.4144021765619463,21504,4
